,ITPName,DTPName,VM,VMName,TestSubjects,Site,Start,End
0,SONORA ITP,SONORA DTP,TE3,Static Load Test,SONORA_Spacecraft,TE53_Environment,2024-07-01T12:00:00,2024-07-01T13:00:00
1,SONORA ITP,SONORA DTP,TE5,Thermal Test,SONORA_Spacecraft,TE53_Environment,2024-07-01T12:00:00,2024-07-01T13:00:00
2,SONORA ITP,SONORA DTP,TE7,Power Simulation,SONORA_Spacecraft_PhysicsModel1,,2024-07-02T12:00:00,2024-07-02T13:00:00
3,SONORA ITP,SONORA DTP,TE10,Electromagnetic Compatibility (EMC) Test,SONORA_Spacecraft,TE10_Environment,2024-07-02T12:00:00,2024-07-02T13:00:00
4,SONORA ITP,SONORA DTP,TE6,Vibration Test,SONORA_Spacecraft,TE6_Environment,2024-07-02T12:00:00,2024-07-02T13:00:00
5,SONORA ITP,SONORA DTP,TE8,Maneuvrability Simulation,SONORA_Spacecraft_PhysicsModel2,,2024-07-04T12:00:00,2024-07-04T13:00:00
6,SONORA ITP,SONORA DTP,TE4,Comms Simulation,SONORA_Spacecraft_CommsModel1,,2024-07-05T12:00:00,2024-07-05T13:00:00
7,SONORA ITP,SONORA DTP,TE11,Payload Resolution Test,SONORA_Spacecraft,TE11_Environment,2024-07-06T12:00:00,2024-07-06T13:00:00
8,SONORA ITP,SONORA OTP,TE2,Mission Capability Test,SONORA_Spacecraft,TE2_Environment,2024-08-01T12:00:00,2024-08-01T13:00:00
9,SONORA ITP,SONORA OTP,TE9,System Limit Test,SONORA_Spacecraft,TE9_Environment,2024-08-02T12:00:00,2024-08-02T13:00:00
